State,Region,Total.Population,electoralvotes,rep16_frac,dem16_frac,votes,votes16_trumpd,votes16_clintonh,votes16_johnsong,votes16_steinj,At.Least.Bachelor.s.Degree,At.Least.High.School.Diploma,Less.Than.High.School,Graduate.Degree,White.not.Latino.Population,African.American.Population,Native.American.Population,Asian.American.Population,Population.some.other.race.or.races,Latino.Population,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Adult.obesity,Diabetes,Uninsured,Unemployment
Alabama,South,4706548,9,0.629,0.346,2078165,1306925,718084,43869,9287,15.39253731,76.78208955,23.21791045,5.62238806,66.65223881,28.23059701,0.614925373,0.545522388,1.185820896,2.765671642,25.98955224,15.7261194,23.54104478,1.41641791,12.05074627,21.28134328,0.350820896,0.140820896,0.174149254,0.085701493
Alaska,West,696686.5,3,0.529,0.377,249484,130656,95511,14697,4445,20.66206897,86.59310345,13.40689655,6.803448276,50.79655172,1.403448276,31.61896552,4.912068966,7.582758621,3.694827586,32.70344828,16.70862069,21.44827586,2.839655172,11.67586207,14.63103448,0.298833333,0.072625,0.276,0.094083333
Arizona,West,6358441,11,0.495,0.454,2062810,1021154,936250,80151,25255,18.05333333,81.82,18.18,6.62,53.22,1.626666667,13.15,1.106666667,1.75,29.16666667,29.16,20.87666667,24.66,1.566666667,13.31666667,10.41,0.278066667,0.1008,0.205333333,0.114066667
Arkansas,South,2877030.5,6,0.681466231,0.318533769,1121684,677904,378729,29518,9837,13.93333333,78.864,21.136,4.424,77.19666667,15.83266667,0.604,0.578666667,1.432,4.364,26.056,16.844,22.37733333,2.529333333,11.146,21.04933333,0.33616,0.124546667,0.209826667,0.08224
California,West,36781241.5,55,0.328,0.616,11954317,3916209,7362490,402406,220312,24.60517241,82.45862069,17.54137931,8.60862069,58.22672414,3.131896552,1.703448276,6.379310345,3.087068966,27.47155172,32.97586207,19.11637931,23.93275862,3.515517241,9.853448276,10.61724138,0.242189655,0.080775862,0.189551724,0.122517241
Colorado,West,4936203.5,9,0.444,0.472,2564185,1137455,1212209,129451,33147,28.46875,88.1390625,11.8609375,9.609375,76.73671875,1.3203125,0.91640625,1.015625,1.57109375,18.43984375,33.6953125,18.17578125,22.4015625,2.4640625,13.665625,9.59765625,0.206828125,0.0630625,0.19878125,0.07578125
Connecticut,Northeast,3534292,7,0.412,0.545,1623542,668266,884432,48051,22793,33.325,89.1,10.9,14.4125,79.65,6.11875,0.20625,2.91875,1.95625,9.14375,38.8625,16.9,24.83125,0.21875,8.4625,10.7125,0.2435,0.082875,0.092875,0.081875
Delaware,Northeast,880883,3,0.419,0.534,441535,185103,235581,14751,6100,24.53333333,86.16666667,13.83333333,9.666666667,68.96666667,19.25,0.383333333,2.333333333,2.133333333,6.916666667,33.75,17.61666667,25.98333333,0.633333333,10.48333333,11.48333333,0.301333333,0.106,0.116333333,0.072
District of Columbia,South,595078,3,0.041,0.928,280272,11553,260223,4501,3995,24.6,43.25,6.75,13.6,33.35,52.3,0.2,3.2,2.1,8.8,56.75,16.05,19.2,0.1,3.3,4.65,0.21,0.081,0.083,0.089
Florida,South,18511865,29,0.491,0.478,9386750,4605515,4485745,206007,64019,19.40746269,82.22686567,17.77313433,6.935820896,70.82537313,13.79029851,0.447014925,1.406716418,1.636567164,11.89701493,28.64328358,20.44104478,25.69477612,2.445522388,12.24477612,10.53208955,0.297776119,0.115985075,0.232373134,0.086253731
Georgia,South,9592660,16,0.513,0.456,4029564,2068623,1837300,123641,,15.81949686,77.17295597,22.82704403,5.848427673,64.61352201,27.70943396,0.221698113,0.961320755,1.201257862,5.29245283,26.91792453,17.08522013,23.32232704,2.014779874,12.12169811,18.53836478,0.31163522,0.123509434,0.223465409,0.100660377
Hawaii,West,1320271,4,0.301,0.623,428825,128815,266827,15949,12727,23.65,79.45,10.55,8.5,28.68,0.8,0.53,27.37,34.66,7.93,35.13,22.82,25.05,1.02,8.53,7.47,0.2306,0.0916,0.09425,0.068
Idaho,West,1530077.5,4,0.592,0.276,688235,407199,189677,28256,8464,19.39318182,85.72272727,14.27727273,5.829545455,84.71590909,0.280681818,1.335227273,0.571590909,1.721590909,11.37272727,28.93636364,17.05454545,21.04431818,5.397727273,13.39545455,14.16818182,0.276431818,0.094318182,0.217227273,0.075863636
Illinois,Midwest,12807837.5,20,0.394,0.554,5374280,2118179,2977498,204491,74112,18.77745098,86.34411765,13.65588235,6.435294118,88.79166667,4.744117647,0.175490196,1.008333333,1.178921569,4.093627451,29.17598039,17.79215686,23.4254902,1.026470588,10.18578431,18.4,0.298637255,0.096656863,0.125068627,0.088147059
Indiana,Midwest,6413135.5,11,0.572,0.379,2722029,1556220,1031953,133856,,16.7923913,84.95869565,15.04130435,6.195652174,92.22228261,2.436413043,0.211956522,0.726630435,1.214130435,3.1875,27.1,16.1798913,22.40326087,0.861956522,10.65597826,22.80054348,0.316978261,0.10951087,0.16473913,0.08475
Iowa,Midwest,3012617.5,6,0.518,0.422,1542880,798923,650790,57322,11119,18.96969697,88.9989899,11.0010101,5.32020202,93.58030303,0.923737374,0.259090909,0.788383838,0.916666667,3.533333333,30.17222222,16.16414141,22.4479798,1.820707071,9.52979798,19.86767677,0.305242424,0.09189899,0.111424242,0.052030303
Kansas,Midwest,2815476.5,6,0.572,0.362,1147143,656009,414788,53648,22698,20.02,87.7847619,12.2152381,6.133333333,87.31619048,1.711904762,0.766190476,0.660952381,1.688571429,7.853809524,32.66380952,16.66571429,21.44238095,3.303333333,10.80380952,15.11714286,0.32367619,0.105657143,0.160466667,0.048209524
Kentucky,South,4295683.5,8,0.625,0.327,1923346,1202942,628834,53749,13913,13.88583333,75.73666667,24.26333333,5.83,92.81208333,3.6175,0.1875,0.43125,1.111666667,1.839166667,26.8975,16.13875,22.72625,1.281666667,12.44583333,20.50375,0.334975,0.12595,0.179125,0.090891667
Louisiana,South,4472459,8,0.581,0.384,2027731,1178004,779535,37950,14018,15.115625,77.1265625,22.8734375,4.7171875,63.26875,31.56796875,0.65546875,0.71953125,1.18984375,2.590625,26.64296875,18.6921875,23.9921875,1.59140625,14.16875,14.91171875,0.355453125,0.1266875,0.204859375,0.074125
Maine,Northeast,1322370.5,4,0.452,0.479,741550,334838,354873,37764,14075,23.8625,88.98125,11.01875,8.425,95.21875,0.746875,0.709375,0.66875,1.5375,1.115625,31.153125,17.7875,23.7375,2.48125,11.4625,13.378125,0.2881875,0.1015625,0.1383125,0.081375
Maryland,South,5705485,10,0.353,0.605,2474543,873646,1497951,71107,31839,28.45416667,87.09166667,12.90833333,11.79583333,71.27708333,19.44583333,0.225,2.7125,1.966666667,4.370833333,37.52083333,16.66666667,24.60208333,0.791666667,10.54375,9.889583333,0.297833333,0.102666667,0.11725,0.075166667
Massachusetts,Northeast,6529402.5,11,0.335,0.608,3231531,1083069,1964768,136784,46910,36.40714286,89.64285714,10.35714286,15.3,81.58214286,4.864285714,0.35,3.278571429,2.660714286,7.253571429,38.44285714,17.92857143,24.25357143,0.375,9.707142857,9.282142857,0.233928571,0.086285714,0.0535,0.068357143
