AreaName,Median_Income
Alabama,55341
Alaska,84232
Georgia,59410
Hawaii,80778
Idaho,57573
Illinois,71546
Indiana,61119
Iowa,67466
Kansas,66389
Kentucky,55367
Louisiana,57144
Maine,62279
Arizona,59480
Maryland,90089
Massachusetts,87085
Michigan,62247
Minnesota,77055
Mississippi,49274
Missouri,60809
Montana,61271
Nebraska,67225
Nevada,60916
New Hampshire,81726
Arkansas,51782
New Jersey,88335
New Mexico,55049
New York,71913
North Carolina,57856
North Dakota,74708
Ohio,62817
Oklahoma,58029
Oregon,62964
Pennsylvania,68158
Puerto Rico,22976
California,70720
Rhode Island,74045
South Carolina,56343
South Dakota,65237
Tennessee,56110
Texas,62717
Utah,68817
Vermont,70027
Virginia,78390
Washington,74025
West Virginia,52866
Colorado,74826
Wisconsin,68064
Wyoming,73194
Connecticut,89031
District of Columbia,85321
Delaware,72993
Florida,57504
